,asia,tub,smoke,lung,bronc,either,xray,dysp
708,no,no,no,no,no,no,no,no
709,no,no,yes,no,yes,no,no,yes
710,no,no,yes,no,yes,no,no,yes
711,no,no,yes,no,yes,no,no,yes
712,no,no,no,no,yes,no,no,yes
713,no,no,yes,no,no,no,no,no
714,no,no,no,no,no,no,yes,no
715,no,no,yes,no,no,no,yes,no
716,no,no,no,no,no,no,no,no
717,no,no,yes,no,yes,no,no,no
718,no,no,yes,no,no,no,no,no
719,no,no,no,no,no,no,no,no
720,no,no,no,no,no,no,no,no
721,no,no,no,no,no,no,no,no
722,no,no,no,no,no,no,no,no
723,no,no,yes,no,yes,no,no,yes
724,no,no,no,no,yes,no,yes,yes
725,no,no,yes,no,yes,no,no,no
726,no,no,no,no,no,no,no,no
727,no,no,no,no,no,no,no,no
728,no,no,no,no,no,no,no,yes
729,no,no,yes,no,no,no,no,no
730,no,no,no,no,no,no,no,no
731,no,no,yes,no,yes,no,no,yes
732,no,no,no,no,no,no,no,no
733,no,no,no,no,no,no,no,no
734,no,no,no,no,no,no,no,no
735,no,no,no,no,no,no,no,no
736,no,no,no,no,no,no,no,no
737,no,no,no,no,no,no,no,no
738,no,no,no,no,no,no,no,yes
739,no,no,yes,no,yes,no,no,yes
740,no,no,yes,no,no,no,no,no
741,no,no,yes,no,yes,no,no,no
742,no,no,no,no,no,no,no,no
743,no,no,yes,no,no,no,no,no
744,no,no,no,no,no,no,no,no
745,no,no,yes,no,yes,no,no,yes
746,no,no,no,no,no,no,no,no
747,no,no,no,no,no,no,no,no
748,no,no,no,no,no,no,no,no
749,no,no,no,no,no,no,no,no
750,no,no,no,no,no,no,no,no
751,no,no,no,no,no,no,no,no
752,no,no,yes,no,no,no,yes,no
753,no,no,no,no,no,no,no,no
754,no,no,yes,no,yes,no,no,yes
755,no,no,yes,no,yes,no,no,yes
756,no,no,yes,no,yes,no,no,yes
757,no,no,no,no,no,no,no,no
758,no,no,yes,no,no,no,yes,no
759,no,no,yes,no,yes,no,no,yes
760,no,no,yes,no,yes,no,no,no
761,no,no,yes,no,yes,no,no,yes
762,no,no,no,no,no,no,no,no
763,no,no,no,no,no,no,no,yes
764,no,no,no,no,no,no,no,no
765,no,no,yes,no,yes,no,no,yes
766,no,no,yes,no,yes,no,no,yes
767,no,no,no,no,no,no,no,yes
768,no,no,yes,no,yes,no,no,yes
769,no,no,yes,no,no,no,no,no
770,no,no,no,no,no,no,no,no
771,no,no,no,no,no,no,no,no
772,no,no,no,no,no,no,no,yes
773,no,no,yes,no,yes,no,no,yes
774,no,no,yes,yes,no,yes,yes,yes
775,no,no,yes,no,yes,no,no,yes
776,no,no,no,no,no,no,no,no
777,no,no,yes,no,yes,no,no,yes
778,no,no,no,no,no,no,no,no
779,no,no,no,no,no,no,no,no
780,no,no,no,no,no,no,yes,no
781,no,no,no,no,no,no,no,no
782,no,no,no,no,no,no,no,no
783,no,no,yes,no,yes,no,yes,yes
784,no,no,no,no,yes,no,no,yes
785,no,no,no,no,no,no,no,no
786,no,no,no,no,yes,no,no,yes
787,no,no,yes,no,yes,no,no,yes
788,no,no,yes,no,no,no,no,no
789,no,no,yes,yes,no,yes,yes,no
790,no,no,yes,no,yes,no,no,yes
791,no,no,no,no,no,no,no,no
792,no,no,yes,no,no,no,yes,no
793,no,no,yes,yes,yes,yes,yes,yes
794,no,no,yes,no,yes,no,no,yes
795,no,no,no,no,no,no,no,yes
796,no,no,yes,no,yes,no,no,no
797,no,no,yes,no,yes,no,no,yes
798,no,no,no,no,yes,no,no,yes
799,no,no,yes,no,no,no,no,no
800,no,no,no,no,no,no,no,no
801,no,no,no,no,no,no,no,no
802,no,no,yes,no,yes,no,no,yes
803,no,no,yes,no,yes,no,no,yes
804,no,no,yes,no,no,no,no,no
805,no,no,yes,no,no,no,no,no
806,no,no,no,no,no,no,no,no
807,no,no,no,no,no,no,no,no
808,no,no,yes,no,yes,no,yes,yes
809,no,no,yes,no,no,no,no,no
810,no,no,yes,no,yes,no,no,yes
811,no,no,yes,no,no,no,no,no
812,no,no,yes,no,yes,no,no,yes
813,no,no,no,no,no,no,no,no
814,no,no,yes,no,yes,no,no,no
815,no,no,no,no,no,no,yes,no
816,no,no,yes,no,yes,no,no,yes
817,no,no,no,no,yes,no,no,no
818,no,no,no,no,no,no,no,no
819,no,no,yes,no,yes,no,no,yes
820,no,no,yes,no,yes,no,no,yes
821,no,no,yes,no,yes,no,no,no
822,no,no,no,no,yes,no,no,yes
823,no,no,no,no,yes,no,no,yes
824,no,no,no,no,no,no,no,no
825,no,no,yes,yes,no,yes,yes,no
826,no,no,yes,yes,yes,yes,yes,yes
827,no,no,yes,no,yes,no,no,no
828,no,no,yes,no,yes,no,no,yes
829,no,no,yes,no,yes,no,no,yes
830,no,no,no,no,no,no,no,no
831,no,no,yes,yes,yes,yes,yes,yes
832,no,no,yes,no,no,no,no,no
833,no,no,yes,yes,yes,yes,yes,yes
834,no,no,no,no,no,no,no,no
835,no,no,yes,no,no,no,yes,yes
836,no,no,no,no,no,no,no,no
837,no,no,yes,no,yes,no,no,no
838,no,no,yes,no,no,no,no,no
839,no,no,no,no,yes,no,no,yes
840,no,no,no,no,no,no,yes,no
841,no,no,yes,no,yes,no,yes,yes
842,no,no,yes,no,no,no,no,yes
843,no,no,no,no,no,no,no,no
844,no,no,no,no,yes,no,no,no
845,no,no,yes,no,yes,no,yes,yes
846,no,no,yes,no,yes,no,no,yes
847,no,no,no,no,no,no,no,no
848,no,no,yes,no,no,no,no,no
849,no,no,yes,no,no,no,no,no
850,no,no,yes,no,no,no,no,no
851,no,no,no,no,no,no,no,no
852,no,no,no,no,no,no,no,yes
853,no,no,yes,no,yes,no,no,no
854,no,no,no,no,yes,no,no,yes
855,yes,no,yes,no,yes,no,no,no
856,no,no,yes,yes,yes,yes,yes,yes
857,no,no,yes,no,no,no,no,no
858,no,no,no,no,yes,no,no,no
859,no,no,yes,no,no,no,no,no
860,no,no,yes,yes,yes,yes,yes,yes
861,no,no,yes,no,yes,no,no,yes
862,no,no,yes,no,no,no,no,no
863,no,no,yes,no,yes,no,no,yes
864,no,no,yes,yes,yes,yes,yes,yes
865,no,no,no,no,yes,no,no,yes
866,no,no,yes,no,yes,no,no,yes
867,no,no,yes,no,no,no,no,no
868,yes,no,yes,no,yes,no,no,yes
869,no,no,no,no,yes,no,no,yes
870,no,no,yes,yes,yes,yes,yes,yes
871,no,no,no,no,no,no,no,no
872,no,no,no,no,yes,no,no,no
873,no,no,yes,no,no,no,no,no
874,no,no,no,no,no,no,yes,no
875,no,no,no,no,no,no,no,no
876,no,no,yes,no,yes,no,no,yes
877,no,no,yes,no,yes,no,yes,yes
878,no,no,yes,no,yes,no,no,yes
879,no,no,no,no,yes,no,no,no
880,no,no,no,no,no,no,no,no
881,no,no,no,no,yes,no,no,yes
882,no,no,no,no,yes,no,no,yes
883,no,no,yes,no,no,no,no,no
884,no,no,yes,no,no,no,no,no
885,no,no,yes,yes,no,yes,yes,no
886,no,no,yes,no,yes,no,no,yes
887,no,no,yes,yes,yes,yes,yes,yes
888,no,no,yes,no,no,no,no,no
889,no,no,yes,yes,yes,yes,yes,yes
890,no,no,yes,no,yes,no,no,yes
891,no,no,yes,no,no,no,no,no
892,no,no,yes,no,yes,no,no,yes
893,yes,no,yes,no,yes,no,no,no
894,no,no,yes,no,yes,no,no,yes
895,no,no,no,no,yes,no,no,yes
896,no,no,yes,no,yes,no,no,yes
897,no,no,yes,no,yes,no,no,no
898,no,no,no,no,no,no,no,no
899,no,no,no,no,no,no,no,no
900,no,no,yes,no,yes,no,no,yes
901,no,no,yes,yes,yes,yes,yes,yes
902,no,no,no,no,no,no,no,no
903,no,no,no,no,yes,no,no,yes
904,no,no,no,no,yes,no,no,yes
905,no,no,no,no,no,no,no,no
906,no,no,no,no,no,no,no,no
907,no,no,yes,no,yes,no,no,no
908,no,no,no,no,yes,no,no,yes
909,no,no,no,no,no,no,no,no
910,no,no,no,no,no,no,no,no
911,no,no,no,no,no,no,no,no
912,no,no,no,no,yes,no,no,yes
913,no,no,yes,no,no,no,no,no
914,no,no,yes,no,yes,no,no,yes
915,no,no,no,no,no,no,no,no
916,no,no,yes,yes,yes,yes,yes,yes
917,no,no,no,no,no,no,no,no
918,no,no,no,no,yes,no,no,yes
919,no,no,no,no,no,no,no,no
920,no,no,no,no,yes,no,no,no
921,no,no,yes,yes,no,yes,yes,no
922,no,no,yes,no,yes,no,no,yes
923,no,no,no,yes,yes,yes,yes,yes
924,no,no,yes,no,yes,no,no,yes
925,no,no,yes,no,no,no,no,no
926,no,no,yes,no,yes,no,no,yes
927,no,no,no,no,no,no,no,no
928,no,no,yes,no,yes,no,no,yes
929,no,no,yes,no,yes,no,no,no
930,no,no,yes,yes,yes,yes,yes,yes
931,no,no,yes,no,yes,no,no,yes
932,no,no,no,no,no,no,yes,no
933,no,no,no,no,no,no,no,yes
934,no,no,yes,no,yes,no,no,yes
935,no,no,no,no,no,no,no,no
936,no,no,yes,no,yes,no,no,yes
937,no,no,no,no,yes,no,no,yes
938,no,no,yes,yes,yes,yes,yes,yes
939,no,no,yes,no,yes,no,no,yes
940,no,no,no,no,no,no,no,no
941,no,no,no,no,no,no,no,no
942,no,no,no,no,yes,no,no,no
943,no,no,no,no,yes,no,no,yes
944,no,no,yes,no,yes,no,no,yes
945,no,no,yes,no,yes,no,no,yes
946,no,no,yes,no,no,no,no,no
947,no,no,no,no,no,no,no,no
948,no,no,yes,no,yes,no,no,yes
949,no,no,no,no,no,no,no,no
950,no,no,no,no,yes,no,no,yes
951,no,no,no,no,yes,no,no,yes
952,no,no,yes,no,yes,no,no,yes
953,no,no,yes,no,yes,no,no,yes
954,no,no,yes,no,yes,no,no,yes
955,no,no,yes,no,yes,no,no,no
956,no,no,no,no,no,no,no,no
957,no,no,yes,yes,yes,yes,yes,yes
958,no,no,no,no,yes,no,yes,no
959,no,no,yes,no,no,no,no,no
960,no,no,yes,no,no,no,no,no
961,no,no,no,no,yes,no,no,no
962,no,no,no,no,no,no,no,no
963,no,no,yes,no,yes,no,no,yes
964,no,no,no,no,no,no,no,no
965,no,no,no,no,yes,no,no,no
966,no,no,no,no,yes,no,no,no
967,no,no,no,no,no,no,no,no
968,no,no,yes,no,yes,no,no,yes
969,no,no,no,no,no,no,no,no
970,no,no,no,no,no,no,no,yes
971,no,no,yes,no,yes,no,no,yes
972,no,no,yes,yes,yes,yes,yes,yes
973,no,no,yes,no,no,no,no,no
974,no,no,no,no,yes,no,no,yes
975,no,no,no,no,yes,no,no,yes
976,no,no,no,no,no,no,no,yes
977,no,no,no,no,yes,no,no,yes
978,no,no,yes,yes,yes,yes,yes,yes
979,no,no,no,no,yes,no,no,yes
980,no,no,no,no,yes,no,no,yes
981,no,no,no,no,no,no,no,no
982,no,no,yes,no,no,no,no,yes
983,no,no,no,no,yes,no,no,yes
984,no,no,yes,no,yes,no,no,yes
985,no,no,no,no,no,no,no,yes
986,no,no,no,no,no,no,no,no
987,no,no,no,no,no,no,yes,no
988,no,no,yes,no,no,no,yes,no
989,no,no,no,no,yes,no,no,yes
990,no,no,yes,no,no,no,no,no
991,no,no,no,no,yes,no,no,yes
992,no,no,no,no,no,no,no,no
993,no,no,no,no,yes,no,no,yes
994,no,no,no,no,no,no,no,no
995,no,no,yes,no,yes,no,no,yes
996,no,no,no,no,yes,no,no,yes
997,no,yes,no,no,yes,yes,yes,yes
998,no,no,no,no,yes,no,no,no
999,no,no,yes,yes,yes,yes,yes,yes
1000,no,no,no,no,yes,no,no,yes
1001,no,no,yes,yes,yes,yes,yes,yes
1002,no,no,yes,no,no,no,no,no
1003,no,no,no,no,no,no,no,no
1004,no,no,yes,yes,yes,yes,yes,yes
1005,no,no,no,no,no,no,yes,no
1006,no,no,no,no,yes,no,no,yes
1007,no,no,yes,no,yes,no,no,yes
1008,no,no,yes,no,yes,no,no,yes
1009,no,no,no,no,no,no,no,no
1010,no,no,no,no,no,no,no,no
1011,no,no,no,no,no,no,no,no
1012,no,no,yes,no,no,no,no,yes
1013,no,no,yes,no,yes,no,no,yes
1014,no,no,no,no,no,no,no,no
1015,no,no,no,no,no,no,no,no
1016,no,no,no,no,yes,no,no,yes
1017,no,no,no,no,no,no,no,no
1018,no,no,yes,no,yes,no,no,no
1019,no,no,yes,no,yes,no,no,yes
1020,no,no,yes,no,yes,no,yes,yes
1021,no,no,yes,no,yes,no,no,no
1022,no,no,yes,no,yes,no,no,yes
1023,no,yes,yes,no,yes,yes,yes,yes
1024,no,no,yes,no,yes,no,no,yes
1025,no,no,yes,no,no,no,no,no
1026,no,no,no,no,no,no,no,no
1027,no,no,yes,no,no,no,yes,no
1028,no,no,no,no,no,no,no,no
1029,yes,no,yes,yes,yes,yes,yes,yes
1030,no,no,yes,no,yes,no,no,no
1031,no,no,yes,no,no,no,no,no
1032,no,no,yes,no,yes,no,no,yes
1033,no,no,yes,no,no,no,no,no
1034,no,no,yes,no,yes,no,no,yes
1035,no,no,no,no,no,no,no,no
1036,no,no,no,no,no,no,no,no
1037,no,no,yes,no,yes,no,no,yes
1038,no,no,yes,no,yes,no,no,yes
1039,no,no,no,no,no,no,no,no
1040,no,no,no,no,no,no,no,no
1041,no,no,no,no,no,no,no,no
1042,no,no,no,no,no,no,no,no
1043,no,no,no,no,no,no,no,no
1044,no,no,yes,yes,yes,yes,yes,yes
1045,no,no,no,no,no,no,no,no
1046,no,no,yes,yes,yes,yes,yes,yes
1047,no,no,no,no,no,no,no,no
1048,no,no,no,no,yes,no,no,yes
1049,no,no,no,no,yes,no,yes,yes
1050,no,no,no,no,yes,no,no,yes
1051,no,no,yes,no,yes,no,no,yes
1052,no,no,yes,no,yes,no,no,yes
1053,no,no,yes,yes,yes,yes,yes,yes
1054,no,no,yes,no,yes,no,no,yes
1055,no,no,no,no,yes,no,no,yes
1056,no,no,no,no,no,no,no,no
1057,no,no,yes,no,no,no,no,no
1058,no,no,yes,no,yes,no,no,yes
1059,no,no,no,no,no,no,no,no
1060,no,no,no,no,no,no,no,no
1061,no,no,no,no,yes,no,no,yes
1062,no,no,no,no,no,no,no,no
1063,no,no,no,no,no,no,no,no
1064,no,no,yes,no,yes,no,no,yes
1065,no,no,no,no,no,no,no,no
1066,no,no,no,no,yes,no,no,yes
1067,no,no,no,no,yes,no,no,yes
1068,no,no,no,no,no,no,no,no
1069,no,no,no,no,yes,no,no,yes
1070,no,no,no,no,no,no,no,no
1071,no,no,no,no,no,no,no,no
1072,no,no,yes,no,yes,no,no,yes
1073,no,no,no,no,yes,no,no,yes
1074,no,no,yes,yes,no,yes,yes,yes
1075,no,no,no,no,yes,no,no,yes
1076,no,no,yes,no,no,no,no,no
1077,no,no,no,no,no,no,no,yes
1078,no,no,yes,no,yes,no,no,yes
1079,no,no,no,no,yes,no,no,yes
1080,no,no,yes,no,no,no,no,no
1081,no,no,yes,no,yes,no,no,yes
1082,no,no,yes,no,no,no,no,no
1083,no,no,yes,no,yes,no,no,yes
1084,no,no,no,no,yes,no,yes,yes
1085,no,no,no,no,no,no,no,no
1086,yes,no,yes,no,yes,no,no,no
1087,no,no,yes,no,yes,no,no,yes
1088,no,no,no,no,yes,no,no,yes
1089,no,no,yes,no,yes,no,no,yes
1090,no,no,yes,no,yes,no,no,yes
1091,no,no,yes,no,yes,no,no,yes
1092,no,no,yes,no,yes,no,no,yes
1093,no,no,yes,no,no,no,yes,no
1094,no,no,yes,no,yes,no,no,yes
1095,no,no,no,no,no,no,no,no
1096,no,no,no,no,no,no,no,no
1097,no,no,no,no,no,no,no,no
1098,no,no,yes,no,no,no,no,no
1099,no,no,yes,no,yes,no,no,yes
1100,no,no,no,no,no,no,no,no
1101,no,no,yes,no,no,no,no,no
1102,no,no,yes,no,no,no,no,yes
1103,no,no,no,no,no,no,no,no
1104,no,no,yes,no,no,no,no,no
1105,no,no,yes,no,no,no,no,no
1106,no,no,yes,no,yes,no,no,yes
1107,no,no,yes,no,no,no,no,no
1108,no,no,yes,no,yes,no,no,yes
1109,no,no,yes,no,yes,no,no,yes
1110,no,no,no,no,no,no,no,yes
1111,no,yes,no,no,yes,yes,yes,yes
1112,no,no,no,no,yes,no,no,yes
1113,no,no,yes,no,yes,no,no,yes
1114,no,no,no,no,yes,no,no,yes
1115,no,no,no,no,no,no,no,no
1116,no,no,yes,no,no,no,yes,no
1117,no,no,yes,no,no,no,no,yes
1118,no,no,no,no,yes,no,no,yes
1119,no,no,no,no,yes,no,no,yes
1120,no,no,no,yes,yes,yes,yes,yes
1121,no,no,no,no,no,no,no,no
1122,no,no,yes,no,yes,no,no,yes
1123,no,no,no,no,no,no,no,no
1124,no,no,no,no,no,no,no,no
1125,no,no,no,no,no,no,no,no
1126,no,no,no,yes,no,yes,yes,yes
1127,no,yes,yes,no,no,yes,yes,yes
1128,no,no,yes,yes,yes,yes,yes,yes
1129,no,no,yes,no,yes,no,no,yes
1130,no,no,yes,yes,no,yes,yes,no
1131,no,no,yes,no,no,no,no,no
1132,no,no,yes,no,yes,no,no,yes
1133,no,no,yes,no,yes,no,yes,yes
1134,no,no,no,no,no,no,no,no
1135,no,no,yes,no,no,no,no,no
1136,no,no,yes,no,no,no,no,no
1137,no,no,yes,no,yes,no,no,yes
1138,no,no,yes,no,yes,no,no,no
1139,no,no,no,no,no,no,no,no
1140,no,no,no,no,no,no,yes,yes
1141,no,no,yes,no,yes,no,no,no
1142,no,no,yes,no,yes,no,no,yes
1143,no,no,no,no,no,no,no,no
1144,no,no,yes,no,no,no,no,no
1145,no,no,yes,no,yes,no,no,yes
1146,no,no,yes,no,no,no,no,no
1147,no,no,no,no,no,no,no,no
1148,no,no,no,no,no,no,no,no
1149,no,no,no,no,no,no,no,no
1150,no,no,no,no,yes,no,no,yes
1151,no,no,no,no,no,no,no,no
1152,no,no,no,no,no,no,no,no
1153,no,no,yes,yes,yes,yes,yes,yes
1154,no,no,no,no,no,no,no,no
1155,no,no,no,no,yes,no,no,yes
1156,no,no,yes,no,yes,no,no,yes
1157,no,no,yes,no,no,no,no,no
1158,no,no,yes,no,yes,no,yes,yes
1159,no,no,no,no,no,no,yes,no
1160,no,no,yes,no,yes,no,no,yes
1161,no,no,yes,no,no,no,yes,no
1162,no,no,no,no,yes,no,no,yes
1163,no,no,no,no,yes,no,no,yes
1164,no,no,no,no,yes,no,no,yes
1165,no,no,no,no,no,no,no,no
1166,no,no,yes,no,no,no,no,no
1167,no,no,no,no,yes,no,no,no
1168,no,no,yes,no,yes,no,no,yes
1169,no,no,yes,yes,yes,yes,yes,yes
1170,no,no,yes,no,yes,no,no,no
1171,no,no,no,no,yes,no,no,yes
1172,no,no,no,no,yes,no,no,yes
1173,no,no,yes,no,yes,no,no,yes
1174,no,no,yes,no,yes,no,no,yes
1175,no,no,yes,no,no,no,no,no
1176,no,no,yes,no,no,no,no,no
1177,no,no,yes,no,no,no,no,no
1178,no,no,no,no,yes,no,no,no
1179,no,no,yes,no,yes,no,no,yes
1180,no,no,no,no,yes,no,no,yes
1181,no,no,yes,no,no,no,no,no
1182,no,no,yes,no,yes,no,no,yes
1183,no,no,no,no,no,no,no,no
1184,no,no,no,no,yes,no,no,yes
1185,no,no,yes,no,yes,no,no,no
1186,no,no,yes,no,yes,no,no,yes
1187,no,no,no,no,no,no,no,yes
1188,no,no,no,no,no,no,no,no
1189,no,no,yes,no,no,no,no,no
1190,no,no,no,no,yes,no,no,yes
1191,no,no,yes,yes,no,yes,yes,no
1192,no,no,no,no,no,no,no,no
1193,no,no,no,no,no,no,no,no
1194,no,no,yes,no,no,no,no,no
1195,no,no,yes,no,yes,no,no,yes
1196,no,no,yes,no,yes,no,no,yes
1197,no,no,no,no,no,no,no,no
1198,no,no,yes,no,yes,no,no,yes
1199,no,no,no,no,yes,no,no,yes
1200,no,no,no,no,no,no,no,no
1201,no,no,no,no,no,no,yes,no
1202,no,no,yes,no,no,no,no,yes
1203,no,no,yes,no,yes,no,no,yes
1204,no,no,no,no,yes,no,no,yes
1205,no,no,no,no,no,no,no,no
1206,no,no,yes,no,no,no,no,yes
1207,no,no,no,no,yes,no,no,yes
1208,no,no,yes,no,no,no,no,no
1209,no,no,no,no,no,no,no,no
1210,no,no,no,no,yes,no,no,yes
1211,no,no,yes,no,yes,no,no,yes
1212,no,no,yes,no,no,no,no,no
1213,no,no,yes,yes,yes,yes,yes,yes
1214,no,no,yes,no,yes,no,no,no
1215,no,no,no,no,no,no,no,no
1216,no,no,yes,no,no,no,no,no
1217,no,no,no,no,no,no,no,no
1218,no,no,no,no,no,no,no,no
1219,no,no,no,no,no,no,no,no
1220,no,no,no,yes,no,yes,yes,yes
1221,no,no,no,no,no,no,no,no
1222,no,no,yes,no,yes,no,no,no
1223,no,no,yes,no,yes,no,no,yes
1224,no,no,yes,no,yes,no,no,yes
1225,no,no,yes,no,yes,no,no,no
1226,no,no,no,no,yes,no,no,yes
1227,no,no,yes,no,no,no,no,no
1228,no,no,yes,no,yes,no,yes,no
1229,no,no,no,no,no,no,no,no
1230,no,no,yes,no,no,no,no,no
1231,no,no,no,no,yes,no,no,no
1232,no,no,yes,no,yes,no,no,yes
1233,no,no,no,no,no,no,no,no
1234,no,no,no,no,yes,no,no,yes
1235,no,no,yes,no,yes,no,no,yes
1236,no,no,yes,no,yes,no,no,yes
1237,no,no,no,no,no,no,no,no
1238,no,no,yes,no,yes,no,no,no
1239,no,yes,no,no,yes,yes,yes,yes
1240,no,no,yes,no,yes,no,no,yes
1241,no,no,yes,no,yes,no,no,yes
1242,no,no,no,no,no,no,no,no
1243,no,no,yes,no,no,no,no,no
1244,no,no,no,no,yes,no,no,yes
1245,no,no,yes,no,yes,no,no,yes
1246,no,no,no,no,yes,no,no,yes
1247,no,no,yes,no,yes,no,no,yes
1248,no,no,no,no,no,no,no,no
1249,no,no,yes,yes,no,yes,yes,yes
1250,no,no,no,no,no,no,no,no
1251,no,no,yes,no,yes,no,no,yes
1252,no,no,no,no,no,no,no,no
1253,no,no,yes,no,yes,no,no,yes
1254,no,no,no,no,no,no,no,no
1255,no,no,no,no,no,no,no,yes
1256,no,no,no,no,yes,no,no,no
1257,no,no,yes,no,yes,no,no,yes
1258,no,no,yes,no,yes,no,no,yes
1259,no,no,no,no,no,no,no,no
1260,no,no,yes,no,yes,no,no,yes
1261,no,no,no,no,yes,no,no,yes
1262,no,no,no,no,no,no,no,no
1263,no,no,yes,no,yes,no,no,yes
1264,no,no,yes,no,no,no,no,no
1265,no,no,no,no,yes,no,no,yes
1266,no,no,yes,no,no,no,no,no
1267,no,no,no,no,no,no,no,no
1268,no,no,yes,no,no,no,no,yes
1269,no,no,yes,no,no,no,no,no
1270,no,no,no,no,no,no,no,no
1271,no,no,yes,no,yes,no,no,yes
1272,no,no,yes,no,yes,no,no,no
1273,no,no,yes,no,no,no,no,no
1274,no,no,yes,no,no,no,no,no
1275,no,no,no,no,yes,no,no,yes
1276,no,no,yes,no,no,no,no,no
1277,no,no,no,no,no,no,no,no
1278,no,no,yes,no,yes,no,no,yes
1279,no,no,yes,no,yes,no,no,yes
1280,no,no,yes,no,yes,no,no,yes
1281,no,no,no,no,no,no,no,no
1282,no,no,yes,no,yes,no,no,yes
1283,no,no,yes,no,no,no,no,no
1284,no,no,yes,no,no,no,no,no
1285,no,no,no,no,yes,no,no,no
1286,no,no,yes,no,yes,no,no,yes
1287,no,no,no,no,no,no,no,no
1288,no,no,yes,no,yes,no,no,yes
1289,no,no,yes,no,yes,no,no,no
1290,no,no,yes,no,yes,no,no,no
1291,no,no,no,no,no,no,no,no
1292,no,no,yes,no,no,no,no,no
1293,no,no,yes,no,no,no,no,no
1294,no,no,no,no,no,no,no,yes
1295,no,no,yes,no,no,no,no,no
1296,no,no,yes,no,yes,no,no,yes
1297,no,no,no,no,yes,no,no,yes
1298,no,no,yes,no,yes,no,no,yes
1299,no,no,no,no,no,no,no,no
1300,no,no,no,no,no,no,no,no
1301,no,no,yes,no,yes,no,no,yes
1302,no,no,no,no,no,no,no,no
1303,no,no,no,no,no,no,no,no
1304,no,no,yes,no,yes,no,no,yes
1305,no,no,no,no,no,no,no,no
1306,no,no,yes,no,no,no,no,no
1307,no,no,yes,no,no,no,no,no
1308,no,no,no,no,no,no,no,no
1309,no,no,no,no,no,no,no,no
1310,no,no,no,no,yes,no,no,yes
1311,no,no,no,no,yes,no,no,yes
1312,no,no,yes,no,yes,no,no,no
1313,no,no,no,no,no,no,no,no
1314,no,no,no,no,no,no,no,no
1315,no,no,yes,no,yes,no,no,yes
1316,no,no,no,no,no,no,no,no
1317,no,no,no,yes,yes,yes,yes,yes
1318,no,no,no,no,no,no,no,no
1319,no,no,yes,no,yes,no,no,yes
1320,no,no,no,no,no,no,no,no
1321,no,no,yes,yes,yes,yes,yes,yes
1322,no,no,no,no,yes,no,no,yes
1323,no,no,no,no,yes,no,no,yes
1324,no,no,yes,no,yes,no,no,yes
1325,no,no,no,no,no,no,no,yes
1326,no,no,no,no,no,no,no,no
1327,no,no,no,no,yes,no,no,yes
1328,no,no,no,no,no,no,no,yes
1329,no,no,no,no,yes,no,no,no
1330,no,no,yes,no,yes,no,no,yes
1331,no,no,no,no,no,no,no,yes
1332,no,no,no,no,no,no,no,no
1333,no,no,yes,no,no,no,no,no
1334,no,no,yes,no,yes,no,no,yes
1335,no,yes,yes,no,yes,yes,yes,yes
1336,no,no,yes,no,yes,no,no,yes
1337,no,no,no,no,no,no,no,no
1338,no,no,no,no,no,no,no,yes
1339,no,no,yes,no,yes,no,no,no
1340,no,no,yes,no,yes,no,no,yes
1341,no,no,no,no,yes,no,no,yes
1342,no,no,no,no,no,no,no,no
1343,no,no,no,no,no,no,no,no
1344,no,no,yes,no,yes,no,yes,yes
1345,no,no,yes,no,no,no,no,no
1346,no,no,no,no,no,no,no,no
1347,no,no,yes,no,yes,no,no,yes
1348,no,no,yes,yes,yes,yes,yes,no
1349,no,no,no,no,no,no,no,no
1350,no,no,yes,no,yes,no,no,no
1351,no,no,no,no,no,no,no,no
1352,no,no,yes,no,yes,no,no,no
1353,no,no,yes,no,no,no,no,no
1354,no,no,yes,no,yes,no,no,yes
1355,no,no,yes,no,no,no,yes,no
1356,no,no,no,no,no,no,no,no
1357,no,no,no,no,no,no,no,no
1358,no,no,yes,no,yes,no,no,no
1359,no,no,no,no,no,no,no,no
1360,no,no,no,no,yes,no,no,yes
1361,no,no,no,no,no,no,no,no
1362,no,no,no,no,no,no,no,no
1363,no,no,yes,no,no,no,no,no
1364,no,no,yes,yes,yes,yes,yes,yes
1365,no,no,yes,yes,yes,yes,yes,yes
1366,no,no,no,no,no,no,no,no
1367,no,no,yes,no,yes,no,no,yes
1368,no,no,no,no,no,no,no,no
1369,no,no,no,no,no,no,no,no
1370,no,no,no,no,no,no,no,no
1371,no,no,yes,no,yes,no,no,yes
1372,no,no,no,no,no,no,no,no
1373,no,no,yes,no,no,no,no,no
1374,no,no,yes,no,no,no,no,no
1375,no,no,yes,yes,yes,yes,yes,yes
1376,no,no,yes,no,yes,no,no,yes
1377,no,no,no,no,no,no,no,no
1378,no,no,no,no,no,no,no,no
1379,no,no,no,no,no,no,no,no
1380,no,no,yes,no,yes,no,no,yes
1381,no,no,yes,no,yes,no,no,yes
1382,no,no,no,no,no,no,no,no
1383,no,no,no,no,no,no,no,no
1384,no,no,no,no,no,no,no,yes
1385,no,no,yes,no,yes,no,no,yes
1386,no,no,no,no,no,no,no,no
1387,no,no,no,no,no,no,no,no
1388,no,no,no,no,no,no,no,no
1389,no,no,yes,no,yes,no,no,yes
1390,no,no,yes,no,yes,no,no,yes
1391,no,no,yes,no,yes,no,no,yes
1392,no,no,no,no,no,no,no,no
1393,no,no,no,no,yes,no,no,yes
