,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
664,WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,Neutral,PC,PC,PC,PC,None,None,StrongWest,None,Weak,Weak,None,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Aug11_Aug20,G,CThruK,Stifling,MoreThanAve,MoreThanAve,G,N1GtLIGt_4,Stability,Average,LessUnstable,GJ,Stifling,Moderate,None,G,XNIL,XNIL,XNIL,Other,CloseToDryAd,Dry,CloseToDryAd,StrongFront,Other,None,LittleChange,None,LV,Westerly,WidespdDnsl
665,Neutral,WeakUp,StrongUp,StrongUp,StrongUp,Dry,Neutral,VeryWet,VeryWet,Clear,PC,Clear,Clear,Strong,Strong,Westerly,Weak,None,Strong,Marked,LittleChange,LittleChange,Neutral,Increasing,SIG,Jun15_Jul1,G,CThruK,PartInhibit,Average,Average,G,N5GtLIGt_8,Stability,Average,MoreUnstable,GJ,PartInhibit,Unfavorable,None,G,XNIL,XNIL,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,Other,LittleChange,None,SWQuad,LVorOther,WidespdDnsl
666,WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,VeryWet,VeryWet,VeryWet,PC,PC,Clear,Clear,None,Strong,Other,None,Weak,Weak,None,LittleChange,LittleChange,Negative,Decreasing,SIG,Jul16_Aug10,E,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,LessUnstable,ACEFK,PartInhibit,Weak,None,E,XNIL,XNIL,SIG,HighEvrywher,CloseToDryAd,Average,Steep,NoMajor,MoistMDryL,DryLine,PosToNeg,None,SWQuad,LVorOther,LV
667,Neutral,Down,Neutral,Neutral,Neutral,Dry,Wet,Wet,Wet,PC,Cloudy,Cloudy,Cloudy,Strong,Strong,StrongWest,Strong,Weak,Weak,Some,LittleChange,LittleChange,WeakPos,Increasing,SIG,May15_Jun14,I,CThruK,PartInhibit,Average,Average,ABI,N5GtLIGt_8,Neutral,Average,Average,HI,Stifling,Moderate,None,I,XNIL,XNIL,SIG,LowSHighN,Steep,VeryMoist,ModerateOrLe,OtherRapid,DryMMoistL,Other,SigNegative,Moving,SWQuad,LVorOther,LV
668,Down,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Wet,Wet,Clear,PC,Clear,Clear,Weak,Strong,StrongWest,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Negative,Decreasing,SVR,Jul2_Jul15,G,CThruK,PartInhibit,Average,MoreThanAve,G,N1GtLIGt_4,Stability,Average,LessUnstable,GJ,None,Weak,Slight,G,XNIL,XNIL,SVR,LowEvrywhere,Steep,Dry,Steep,MarkedUpper,Other,DryLine,SigNegative,None,NWQuad,Westerly,LV
669,Down,Neutral,Neutral,Down,Down,VeryWet,Wet,Wet,Wet,PC,Clear,Cloudy,Cloudy,Strong,Strong,Westerly,Weak,Strong,Strong,Some,LittleChange,LittleChange,Negative,Decreasing,SVR,Aug20_Sep15,B,AB,None,LessThanAve,LessThanAve,ABI,LILt_8,Instability,MoreUnstable,LessUnstable,B,PartInhibit,Weak,None,B,XNIL,XNIL,SVR,HighEvrywher,CloseToDryAd,VeryMoist,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,LittleChange,Moving,SWQuad,Westerly,DenvCyclone
670,StrongUp,Neutral,StrongUp,WeakUp,WeakUp,Wet,Neutral,Neutral,Wet,PC,PC,PC,PC,Weak,Strong,Other,None,None,None,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jun15_Jul1,K,CThruK,PartInhibit,Average,Average,K,N1GtLIGt_4,Stability,Average,MoreUnstable,ACEFK,PartInhibit,Strong,Moderate,K,XNIL,XNIL,SIG,LowAtStation,ModerateOrLe,Average,ModerateOrLe,MarkedUpper,Other,MovingFtorOt,SigPositive,QStationary,AllElse,Westerly,WidespdDnsl
671,Neutral,Down,Neutral,Neutral,Neutral,VeryWet,Neutral,Wet,Wet,PC,PC,PC,PC,Strong,Strong,DCVZFavor,None,Weak,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,May15_Jun14,G,CThruK,Stifling,MoreThanAve,MoreThanAve,G,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,GJ,Stifling,Weak,None,G,XNIL,XNIL,SVR,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,None,LittleChange,None,LV,Westerly,WidespdDnsl
672,Down,Neutral,Neutral,Down,Down,VeryWet,Neutral,VeryWet,Wet,Clear,PC,Clear,Clear,Strong,Strong,StrongWest,Strong,None,Strong,Marked,LittleChange,LittleChange,Negative,Decreasing,SVR,May15_Jun14,A,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Instability,MoreUnstable,Average,ACEFK,None,Unfavorable,None,A,XNIL,XNIL,SVR,LowMtsHighPl,ModerateOrLe,VeryMoist,Steep,OtherRapid,Other,None,LittleChange,QStationary,SWQuad,LVorOther,DenvCyclone
673,WeakUp,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,PC,Clear,Cloudy,Cloudy,None,None,Westerly,None,None,None,None,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Jul16_Aug10,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,Average,ACEFK,PartInhibit,Moderate,Moderate,E,XNIL,XNIL,XNIL,LowMtsHighPl,CloseToDryAd,Average,ModerateOrLe,NoMajor,Other,None,LittleChange,Moving,SWQuad,Westerly,LongAnticyc
674,Down,Down,StrongUp,Down,Down,Dry,Neutral,Dry,Dry,Cloudy,PC,Cloudy,PC,Weak,Weak,Westerly,None,None,None,Some,IncCapDecIns,Increasing,Neutral,Decreasing,SIG,Aug20_Sep15,C,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Moderate,Moderate,C,SVR,SVR,SVR,LowNHighS,Steep,Average,Steep,MarkedUpper,MoistMDryL,E_W_S,SigPositive,None,NWQuad,LVorOther,LongAnticyc
675,StrongUp,Down,Neutral,Neutral,Neutral,VeryWet,Wet,Wet,VeryWet,Cloudy,PC,Cloudy,Cloudy,Weak,Strong,StrongWest,Weak,None,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,B,AB,PartInhibit,LessThanAve,MoreThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,B,None,Strong,Strong,B,SVR,SVR,SVR,LowSHighN,Stable,VeryMoist,CloseToDryAd,MarkedUpper,Other,MovingFtorOt,LittleChange,QStationary,AllElse,LVorOther,DenvCyclone
676,Neutral,Down,WeakUp,Down,Down,Dry,Neutral,Neutral,Neutral,Cloudy,PC,Cloudy,PC,Strong,Strong,DCVZFavor,Strong,None,Weak,Marked,IncCapDecIns,Increasing,WeakPos,LittleChange,SIG,Aug20_Sep15,D,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,D,None,Weak,Slight,D,XNIL,XNIL,SIG,LowAtStation,Steep,Average,CloseToDryAd,OtherRapid,Other,DryLine,NegToPos,Other,NWQuad,LVorOther,LV
677,StrongUp,Neutral,Down,Neutral,Neutral,Wet,Neutral,Dry,Dry,PC,PC,PC,PC,None,None,DCVZFavor,None,None,None,None,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,May15_Jun14,E,CThruK,None,LessThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Weak,None,E,XNIL,XNIL,XNIL,LowEvrywhere,Steep,Dry,ModerateOrLe,NoMajor,MoistMDryL,E_W_N,PosToNeg,None,SWQuad,Westerly,WidespdDnsl
678,Down,Neutral,Down,Neutral,Neutral,VeryWet,Wet,VeryWet,Wet,Clear,Clear,Clear,Clear,None,Weak,DCVZFavor,Weak,None,None,Some,LittleChange,LittleChange,Negative,Decreasing,XNIL,May15_Jun14,C,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Instability,Average,LessUnstable,ACEFK,PartInhibit,Moderate,Slight,C,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,E_W_S,NegToPos,Other,AllElse,Westerly,LongAnticyc
679,WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Wet,Neutral,VeryWet,Wet,PC,PC,PC,PC,Weak,Strong,Westerly,Weak,None,None,Some,DecCapIncIns,Decreasing,Neutral,LittleChange,XNIL,May15_Jun14,K,CThruK,TotalInhibit,MoreThanAve,LessThanAve,K,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,None,Strong,Strong,K,SVR,SVR,SVR,HighEvrywher,ModerateOrLe,Dry,ModerateOrLe,MarkedUpper,MoistMDryL,DryLine,SigPositive,QStationary,AllElse,LVorOther,WidespdDnsl
680,WeakUp,Down,Down,Neutral,Neutral,Wet,Dry,VeryWet,Wet,PC,PC,Clear,Clear,Weak,Strong,StrongWest,Strong,Strong,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Aug20_Sep15,E,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,None,Unfavorable,Slight,E,SIG,SIG,SIG,HighEvrywher,CloseToDryAd,Average,ModerateOrLe,OtherRapid,MoistMDryL,None,LittleChange,None,NWQuad,LVorOther,SEQuad
681,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Dry,VeryWet,VeryWet,PC,PC,PC,Cloudy,None,None,Other,None,Strong,Weak,None,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,May15_Jun14,I,CThruK,PartInhibit,Average,MoreThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,Stifling,Unfavorable,None,I,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Average,Steep,NoMajor,DryMMoistL,E_W_S,SigNegative,Other,SWQuad,Westerly,E_NE
682,StrongUp,WeakUp,StrongUp,WeakUp,WeakUp,Wet,Neutral,Wet,Neutral,Cloudy,PC,Cloudy,Cloudy,Weak,Strong,Westerly,Weak,None,Strong,Some,DecCapIncIns,Decreasing,WeakPos,Decreasing,SVR,May15_Jun14,I,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,ABI,LILt_8,Instability,MoreUnstable,MoreUnstable,HI,Stifling,Moderate,None,I,SIG,SIG,SVR,LowAtStation,ModerateOrLe,VeryMoist,ModerateOrLe,NoMajor,DryMMoistL,MovingFtorOt,NegToPos,QStationary,SWQuad,Westerly,DenvCyclone
683,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Neutral,Neutral,PC,PC,PC,Clear,Weak,Strong,Other,None,None,None,None,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,Aug11_Aug20,G,CThruK,PartInhibit,LessThanAve,LessThanAve,G,LILt_8,Neutral,MoreUnstable,MoreUnstable,GJ,PartInhibit,Unfavorable,None,G,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,MoistMDryL,Other,SigPositive,None,SWQuad,LVorOther,LV
684,Neutral,Down,StrongUp,WeakUp,WeakUp,Neutral,Neutral,Dry,Neutral,Cloudy,Clear,Cloudy,PC,Strong,Strong,Other,None,None,None,None,IncCapDecIns,Increasing,Negative,LittleChange,SIG,Aug20_Sep15,K,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,K,N1GtLIGt_4,Stability,Average,Average,ACEFK,PartInhibit,Moderate,None,K,XNIL,XNIL,SIG,Other,Steep,Dry,ModerateOrLe,StrongFront,Other,Other,SigPositive,None,NWQuad,LVorOther,E_NE
685,WeakUp,StronUp,Neutral,WeakUp,WeakUp,Dry,Neutral,Neutral,Wet,PC,Clear,Clear,Clear,None,Weak,DCVZFavor,None,None,Weak,None,LittleChange,LittleChange,StrongPos,Increasing,SIG,Aug20_Sep15,H,CThruK,PartInhibit,Average,Average,H,LIGt0,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Weak,None,H,XNIL,XNIL,SIG,LowSHighN,Stable,Average,ModerateOrLe,MarkedUpper,DryMMoistL,E_W_S,SigPositive,Moving,LV,LVorOther,E_NE
686,Down,Neutral,Down,Down,Down,Wet,Neutral,Neutral,Dry,PC,PC,PC,Clear,Strong,Strong,Westerly,Weak,Weak,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,Jun15_Jul1,F,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,F,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,None,Weak,Moderate,F,SIG,SIG,SIG,HighEvrywher,Steep,VeryMoist,ModerateOrLe,OtherRapid,Other,DenvCyclone,LittleChange,None,LV,LVorOther,LV
687,WeakUp,WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Dry,PC,Clear,PC,PC,Strong,Strong,DCVZFavor,Weak,Weak,Weak,Marked,DecCapIncIns,Decreasing,WeakPos,LittleChange,SIG,May15_Jun14,H,CThruK,Stifling,Average,LessThanAve,H,N5GtLIGt_8,Stability,Average,Average,HI,PartInhibit,Weak,Slight,H,XNIL,XNIL,SIG,LowNHighS,Stable,Average,ModerateOrLe,MarkedUpper,DryMMoistL,E_W_S,NegToPos,Moving,SWQuad,LVorOther,E_NE
688,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Dry,PC,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Weak,Weak,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Aug20_Sep15,C,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,Slight,C,SIG,SIG,SIG,LowEvrywhere,Steep,Dry,CloseToDryAd,OtherRapid,Other,DryLine,SigPositive,Other,NWQuad,Westerly,LongAnticyc
689,StrongUp,Neutral,WeakUp,WeakUp,WeakUp,VeryWet,Neutral,VeryWet,VeryWet,PC,PC,PC,Cloudy,None,None,StrongWest,None,Weak,None,None,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul2_Jul15,C,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,Stifling,Weak,None,C,XNIL,XNIL,XNIL,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,E_W_S,NegToPos,QStationary,NWQuad,Westerly,LV
690,Neutral,StronUp,Neutral,WeakUp,WeakUp,Dry,Wet,Dry,Dry,PC,Clear,PC,PC,None,Weak,Other,None,Weak,Strong,None,DecCapIncIns,Decreasing,Neutral,Decreasing,SIG,Jun15_Jul1,K,CThruK,None,Average,LessThanAve,K,LIGt0,Neutral,MoreUnstable,MoreUnstable,ACEFK,TotalInhibit,Moderate,None,K,SVR,SVR,SVR,Other,Stable,Dry,CloseToDryAd,MarkedUpper,DryMMoistL,MovingFtorOt,SigPositive,Other,AllElse,LVorOther,SEQuad
691,Down,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,VeryWet,VeryWet,PC,PC,PC,Cloudy,None,None,Other,None,Strong,Weak,None,LittleChange,LittleChange,StrongPos,Increasing,XNIL,May15_Jun14,C,CThruK,None,Average,Average,CDEJ,N1GtLIGt_4,Instability,Average,Average,ACEFK,Stifling,Strong,Moderate,C,SIG,SIG,SIG,LowEvrywhere,Steep,Dry,Steep,NoMajor,DryMMoistL,None,SigPositive,Other,AllElse,Westerly,LongAnticyc
692,WeakUp,Down,WeakUp,Neutral,Neutral,Neutral,Dry,Wet,VeryWet,PC,Clear,PC,PC,None,None,Westerly,None,None,None,None,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,Jul16_Aug10,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,GJ,None,Strong,Strong,J,XNIL,XNIL,XNIL,LowAtStation,Steep,Dry,Steep,NoMajor,Other,DryLine,LittleChange,None,LV,LVorOther,WidespdDnsl
693,Neutral,Neutral,Down,Neutral,Neutral,Neutral,Dry,Neutral,Wet,Clear,Cloudy,PC,PC,None,Weak,StrongWest,Strong,Weak,Strong,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jun15_Jul1,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,ACEFK,Stifling,Moderate,None,E,SIG,XNIL,SIG,LowMtsHighPl,Steep,Average,Steep,NoMajor,MoistMDryL,DryLine,SigNegative,None,NWQuad,Westerly,LV
694,WeakUp,WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,PC,PC,Clear,Clear,Strong,Strong,StrongWest,Strong,None,Strong,Marked,LittleChange,LittleChange,Neutral,LittleChange,SIG,Aug20_Sep15,I,CThruK,Stifling,Average,Average,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,HI,Stifling,Weak,None,I,XNIL,XNIL,SIG,LowSHighN,ModerateOrLe,Dry,Steep,StrongFront,DryMMoistL,E_W_N,SigNegative,QStationary,NWQuad,LVorOther,E_NE
695,WeakUp,StronUp,StrongUp,WeakUp,WeakUp,Dry,Neutral,Wet,VeryWet,PC,Clear,Clear,PC,None,None,Westerly,None,Weak,Weak,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,Jul2_Jul15,J,CThruK,None,LessThanAve,Average,CDEJ,LILt_8,Stability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Weak,Slight,J,XNIL,XNIL,XNIL,LowAtStation,ModerateOrLe,Dry,ModerateOrLe,NoMajor,DryMMoistL,DenvCyclone,LittleChange,QStationary,LV,LVorOther,LV
696,WeakUp,Down,StrongUp,Down,Down,VeryWet,Wet,VeryWet,Wet,PC,PC,PC,Clear,Weak,Strong,Westerly,None,None,None,Some,IncCapDecIns,Increasing,Negative,Decreasing,SVR,Jul2_Jul15,D,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,Average,D,None,Weak,Slight,D,XNIL,XNIL,SVR,LowMtsHighPl,Steep,Dry,ModerateOrLe,StrongFront,MoistMDryL,None,SigNegative,Other,AllElse,Westerly,E_NE
697,WeakUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,Cloudy,Cloudy,Cloudy,Cloudy,None,None,DCVZFavor,None,None,None,None,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,Jul2_Jul15,E,CThruK,None,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,LessUnstable,ACEFK,None,Unfavorable,Slight,E,XNIL,XNIL,XNIL,LowAtStation,CloseToDryAd,Average,ModerateOrLe,OtherRapid,Other,DryLine,NegToPos,None,SWQuad,Westerly,LongAnticyc
698,Down,Down,WeakUp,Neutral,Neutral,Wet,Dry,Wet,Wet,Clear,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,Jul2_Jul15,B,AB,PartInhibit,LessThanAve,MoreThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,B,None,Strong,Strong,B,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,Average,Steep,NoMajor,DryMMoistL,DenvCyclone,LittleChange,Other,SWQuad,LVorOther,E_NE
699,Neutral,Down,Neutral,Neutral,Neutral,Neutral,VeryWet,Dry,Dry,PC,PC,Cloudy,Cloudy,None,None,DCVZFavor,None,Weak,Strong,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Aug20_Sep15,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,D,PartInhibit,Strong,Strong,D,XNIL,XNIL,XNIL,LowNHighS,Steep,Average,CloseToDryAd,MarkedUpper,Other,DryLine,SigNegative,None,AllElse,LVorOther,SEQuad
700,Down,Down,WeakUp,Neutral,Neutral,VeryWet,Neutral,Neutral,Neutral,Cloudy,Cloudy,Cloudy,Cloudy,None,None,Other,None,Weak,None,None,IncCapDecIns,Increasing,WeakPos,Decreasing,XNIL,May15_Jun14,I,CThruK,None,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,LessUnstable,HI,None,Moderate,Moderate,I,XNIL,XNIL,XNIL,LowAtStation,Steep,Average,ModerateOrLe,NoMajor,Other,E_W_N,SigPositive,QStationary,AllElse,LVorOther,SEQuad
701,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Dry,Dry,Clear,Clear,Clear,Clear,None,None,StrongWest,None,Weak,None,None,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Jul2_Jul15,E,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N5GtLIGt_8,Neutral,Average,MoreUnstable,ACEFK,None,Weak,Moderate,E,SIG,SIG,SIG,LowMtsHighPl,Stable,Dry,Steep,OtherRapid,MoistMDryL,None,PosToNeg,None,AllElse,Westerly,LV
702,Neutral,Down,Down,Down,Down,Neutral,Dry,Dry,Dry,PC,Clear,Cloudy,PC,None,Weak,Westerly,Weak,None,Strong,None,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,Aug20_Sep15,B,AB,PartInhibit,LessThanAve,Average,ABI,LILt_8,Neutral,MoreUnstable,MoreUnstable,B,PartInhibit,Weak,None,B,SVR,SVR,SVR,LowMtsHighPl,ModerateOrLe,Average,Steep,NoMajor,Other,E_W_N,NegToPos,Other,SWQuad,Westerly,DenvCyclone
703,WeakUp,WeakUp,WeakUp,WeakUp,WeakUp,Dry,VeryWet,VeryWet,VeryWet,PC,Clear,PC,PC,None,None,DCVZFavor,None,Weak,Strong,None,LittleChange,LittleChange,Negative,Decreasing,XNIL,Aug20_Sep15,G,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,G,N1GtLIGt_4,Instability,Average,Average,GJ,None,Unfavorable,None,G,XNIL,XNIL,XNIL,Other,ModerateOrLe,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,None,LV,LVorOther,LongAnticyc
704,WeakUp,Down,WeakUp,Down,Down,VeryWet,Dry,Dry,Dry,PC,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Strong,Strong,Marked,IncCapDecIns,Increasing,Neutral,Decreasing,XNIL,Jul16_Aug10,B,AB,Stifling,Average,Average,ABI,LIGt0,Instability,LessUnstable,LessUnstable,B,Stifling,Weak,None,B,XNIL,XNIL,XNIL,LowMtsHighPl,ModerateOrLe,Average,Steep,NoMajor,MoistMDryL,DenvCyclone,NegToPos,Other,NWQuad,LVorOther,DenvCyclone
705,WeakUp,Down,Down,Down,Down,Wet,Neutral,Neutral,Dry,PC,Clear,Clear,Clear,None,None,Westerly,None,None,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,May15_Jun14,G,CThruK,PartInhibit,Average,LessThanAve,G,LIGt0,Instability,LessUnstable,LessUnstable,GJ,PartInhibit,Weak,None,G,XNIL,XNIL,XNIL,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,NegToPos,None,SWQuad,LVorOther,LongAnticyc
706,StrongUp,Neutral,StrongUp,StrongUp,StrongUp,VeryWet,Wet,VeryWet,VeryWet,Clear,Clear,Clear,Clear,None,Weak,Westerly,None,None,None,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,Aug20_Sep15,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Neutral,Average,Average,GJ,PartInhibit,Moderate,Slight,J,XNIL,XNIL,SIG,LowAtStation,ModerateOrLe,Dry,CloseToDryAd,NoMajor,MoistMDryL,None,LittleChange,Other,LV,LVorOther,LV
707,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Neutral,Neutral,Wet,Clear,PC,Clear,PC,Strong,Strong,DCVZFavor,Weak,Weak,Strong,Some,LittleChange,LittleChange,WeakPos,Increasing,SIG,Jul16_Aug10,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,GJ,PartInhibit,Moderate,None,J,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Dry,ModerateOrLe,NoMajor,DryMMoistL,DryLine,LittleChange,None,LV,LVorOther,DenvCyclone
708,Neutral,Neutral,Down,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,Clear,PC,Clear,Clear,Strong,Strong,DCVZFavor,Weak,Weak,Weak,Marked,LittleChange,LittleChange,WeakPos,Increasing,SIG,Jul16_Aug10,K,CThruK,Stifling,MoreThanAve,MoreThanAve,K,LIGt0,Instability,Average,Average,ACEFK,None,Weak,Slight,K,SIG,SIG,SIG,HighEvrywher,Steep,Average,Steep,MarkedUpper,DryMMoistL,None,SigNegative,QStationary,NWQuad,LVorOther,SEQuad
709,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Dry,Neutral,Neutral,PC,Clear,PC,PC,None,None,DCVZFavor,None,None,Weak,None,LittleChange,LittleChange,StrongPos,Increasing,XNIL,Jul16_Aug10,C,CThruK,None,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,ACEFK,None,Strong,Strong,C,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,ModerateOrLe,OtherRapid,Other,E_W_N,SigPositive,None,LV,Westerly,LongAnticyc
710,StrongUp,Neutral,Down,WeakUp,WeakUp,Wet,Dry,Neutral,Neutral,PC,Clear,PC,PC,Strong,Strong,StrongWest,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,Jul16_Aug10,G,CThruK,PartInhibit,Average,MoreThanAve,G,N1GtLIGt_4,Stability,Average,LessUnstable,GJ,PartInhibit,Moderate,Slight,G,XNIL,XNIL,XNIL,LowEvrywhere,Steep,Dry,CloseToDryAd,NoMajor,MoistMDryL,None,PosToNeg,None,LV,Westerly,LongAnticyc
711,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Neutral,Wet,Neutral,Neutral,PC,PC,PC,Cloudy,None,None,Westerly,None,None,None,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,Jun15_Jul1,K,CThruK,PartInhibit,LessThanAve,MoreThanAve,K,LILt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Unfavorable,None,K,XNIL,XNIL,XNIL,LowEvrywhere,Steep,Dry,CloseToDryAd,MarkedUpper,Other,MovingFtorOt,LittleChange,Moving,NWQuad,Westerly,SEQuad
