,BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
930,no,Equal,Moderate,Normal,Plethoric,no,no,5-12,12+,<7.5,Oligaemic,TGA,no,0-3_days,no,None,Complete,Normal,High,yes
931,no,Equal,Moderate,High,Oligaemic,yes,no,5-12,<5,>=7.5,Normal,TAPVD,yes,0-3_days,no,None,Complete,Abnormal,High,yes
932,no,Equal,Moderate,Normal,Plethoric,no,no,5-12,<5,<7.5,Plethoric,TAPVD,no,0-3_days,no,None,Complete,Congested,High,no
933,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Normal,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
934,no,Equal,Mild,Normal,Plethoric,no,yes,<5,<5,<7.5,Plethoric,Fallot,no,0-3_days,yes,None,Complete,Normal,High,no
935,no,Equal,Mild,Normal,Oligaemic,yes,no,12+,12+,<7.5,Oligaemic,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
936,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,5-12,<7.5,Oligaemic,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,yes
937,no,Unequal,Mild,High,Asy/Patch,yes,no,<5,12+,>=7.5,Asy/Patchy,Lung,yes,0-3_days,no,Rt_to_Lt,None,Abnormal,Normal,yes
938,no,Equal,Severe,Normal,Plethoric,no,yes,12+,5-12,>=7.5,Asy/Patchy,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,High,yes
939,no,Equal,Mild,Normal,Oligaemic,no,yes,12+,5-12,<7.5,Asy/Patchy,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
940,no,Equal,Severe,Normal,Plethoric,no,no,5-12,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Congested,High,no
941,no,Equal,Moderate,High,Grd_Glass,yes,no,12+,5-12,>=7.5,Grd_Glass,TAPVD,yes,0-3_days,no,Rt_to_Lt,Complete,Congested,Normal,yes
942,no,Equal,Moderate,Normal,Normal,yes,no,5-12,5-12,<7.5,Normal,TGA,yes,0-3_days,no,None,Complete,Abnormal,High,no
943,no,Unequal,Mild,Normal,Asy/Patch,no,no,5-12,12+,<7.5,Asy/Patchy,Lung,no,0-3_days,no,Rt_to_Lt,None,Abnormal,Normal,no
944,no,Equal,Moderate,Low,Oligaemic,no,no,12+,5-12,<7.5,Oligaemic,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,no
945,no,Equal,Severe,High,Plethoric,no,yes,5-12,<5,>=7.5,Plethoric,TAPVD,no,0-3_days,no,None,Complete,Congested,High,no
946,no,Equal,Moderate,High,Grd_Glass,yes,no,5-12,<5,>=7.5,Grd_Glass,TAPVD,no,0-3_days,no,None,Complete,Congested,High,yes
947,no,Equal,Severe,Normal,Oligaemic,no,yes,<5,<5,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
948,no,Equal,Moderate,High,Asy/Patch,yes,no,5-12,5-12,>=7.5,Asy/Patchy,Fallot,yes,4-10_days,no,Lt_to_Rt,Complete,Abnormal,Low,no
949,no,Equal,Severe,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
950,no,Equal,Moderate,Low,Oligaemic,no,yes,12+,5-12,<7.5,Oligaemic,Fallot,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
951,no,Equal,Severe,Normal,Asy/Patch,no,no,12+,<5,<7.5,Asy/Patchy,Fallot,yes,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,yes
952,no,Unequal,Moderate,High,Plethoric,no,no,<5,<5,>=7.5,Plethoric,Lung,no,0-3_days,no,Rt_to_Lt,None,Congested,Normal,yes
953,no,Equal,Severe,High,Asy/Patch,no,no,<5,<5,<7.5,Grd_Glass,TGA,no,11-30_days,no,None,Transp.,Abnormal,Normal,no
954,no,Equal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Oligaemic,Fallot,yes,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,no
955,no,Equal,Severe,High,Normal,no,yes,<5,5-12,>=7.5,Normal,TGA,yes,4-10_days,yes,None,Transp.,Abnormal,High,no
956,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,<5,<7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,Low,no
957,no,Equal,Moderate,Low,Oligaemic,no,no,<5,<5,<7.5,Oligaemic,Fallot,no,11-30_days,no,None,Mild,Normal,Low,no
958,yes,Unequal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Normal,PFC,no,0-3_days,no,Rt_to_Lt,Mild,Normal,Normal,yes
959,no,Unequal,Moderate,Normal,Asy/Patch,yes,no,5-12,<5,<7.5,Asy/Patchy,PFC,yes,0-3_days,no,Rt_to_Lt,Mild,Abnormal,Normal,yes
960,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,<5,<7.5,Oligaemic,Fallot,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,Low,no
961,no,Equal,Severe,High,Oligaemic,no,no,5-12,<5,>=7.5,Oligaemic,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Abnormal,Normal,no
962,no,Equal,Moderate,High,Asy/Patch,no,no,5-12,12+,>=7.5,Asy/Patchy,Fallot,no,4-10_days,no,Lt_to_Rt,Mild,Abnormal,Low,no
963,yes,Equal,Moderate,Normal,Asy/Patch,yes,no,5-12,5-12,>=7.5,Asy/Patchy,PFC,no,0-3_days,no,Rt_to_Lt,Mild,Abnormal,Normal,yes
964,no,Equal,Severe,Normal,Asy/Patch,yes,yes,12+,<5,<7.5,Grd_Glass,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,no
965,no,Equal,Severe,Normal,Normal,no,no,5-12,<5,<7.5,Normal,TGA,no,4-10_days,no,None,Transp.,Normal,Low,no
966,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,5-12,<7.5,Asy/Patchy,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,Low,no
967,no,Equal,Severe,High,Oligaemic,no,yes,<5,<5,>=7.5,Oligaemic,PAIVS,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,Low,no
968,yes,Equal,Severe,Normal,Plethoric,no,no,5-12,5-12,<7.5,Plethoric,TGA,no,4-10_days,no,None,Transp.,Normal,High,no
969,no,Unequal,Moderate,High,Grd_Glass,no,no,<5,5-12,>=7.5,Grd_Glass,Lung,no,0-3_days,no,Rt_to_Lt,None,Congested,Normal,no
970,no,Equal,Moderate,High,Asy/Patch,no,no,5-12,<5,>=7.5,Asy/Patchy,PAIVS,no,0-3_days,no,Lt_to_Rt,Complete,Abnormal,Low,no
971,no,Equal,Severe,Normal,Grd_Glass,no,no,<5,<5,<7.5,Grd_Glass,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
972,no,Unequal,Moderate,Normal,Normal,no,no,5-12,5-12,<7.5,Normal,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Normal,High,no
973,yes,Equal,Severe,Low,Plethoric,no,yes,<5,5-12,<7.5,Plethoric,PAIVS,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,High,no
974,no,Equal,Severe,Normal,Normal,no,no,12+,<5,<7.5,Plethoric,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Normal,yes
975,no,Equal,Severe,Normal,Normal,no,no,5-12,5-12,<7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Normal,Normal,no
976,yes,Equal,Moderate,Normal,Plethoric,no,no,5-12,5-12,<7.5,Asy/Patchy,Fallot,no,11-30_days,no,Lt_to_Rt,Mild,Normal,Low,no
977,no,Equal,Severe,Low,Plethoric,no,no,5-12,<5,<7.5,Normal,TGA,no,0-3_days,no,Lt_to_Rt,Transp.,Normal,High,no
978,no,Unequal,Severe,Normal,Plethoric,no,no,5-12,<5,>=7.5,Plethoric,TGA,no,4-10_days,no,Rt_to_Lt,Transp.,Normal,High,no
979,no,Equal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Normal,TGA,yes,0-3_days,no,None,Transp.,Normal,High,no
980,no,Equal,Moderate,Normal,Plethoric,yes,no,5-12,<5,<7.5,Plethoric,TAPVD,yes,0-3_days,no,Lt_to_Rt,Transp.,Congested,Normal,no
981,no,Equal,Severe,Normal,Plethoric,no,no,<5,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
982,no,Equal,Mild,Normal,Normal,no,yes,12+,5-12,<7.5,Oligaemic,PFC,no,0-3_days,no,Lt_to_Rt,None,Normal,Normal,yes
983,no,Equal,Severe,Normal,Plethoric,no,no,5-12,12+,>=7.5,Plethoric,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,High,no
984,no,Equal,Moderate,Normal,Plethoric,no,yes,5-12,12+,<7.5,Plethoric,TGA,no,11-30_days,no,None,Complete,Normal,High,yes
985,no,Equal,Severe,Normal,Normal,no,no,<5,<5,<7.5,Asy/Patchy,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Normal,yes
986,no,Unequal,Severe,Normal,Plethoric,no,yes,5-12,<5,>=7.5,Plethoric,TGA,no,0-3_days,yes,None,Transp.,Normal,High,no
987,no,Unequal,Moderate,Normal,Oligaemic,yes,no,5-12,12+,<7.5,Oligaemic,Fallot,yes,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,yes
988,no,Equal,Severe,Normal,Asy/Patch,yes,no,12+,5-12,<7.5,Asy/Patchy,TGA,yes,0-3_days,no,None,Transp.,Abnormal,Normal,no
989,no,Equal,Severe,Normal,Normal,no,no,<5,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,Normal,no
990,no,Equal,Severe,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
991,yes,Equal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,Normal,no
992,yes,Equal,Severe,Normal,Asy/Patch,no,no,<5,5-12,<7.5,Asy/Patchy,PFC,yes,0-3_days,no,Rt_to_Lt,Mild,Congested,Normal,no
993,no,Equal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Plethoric,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Normal,no
994,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,5-12,<7.5,Plethoric,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,no
995,no,Equal,Severe,Normal,Plethoric,no,no,5-12,5-12,<7.5,Plethoric,TGA,no,0-3_days,no,None,Mild,Normal,High,no
996,no,Equal,Severe,Normal,Oligaemic,no,yes,<5,5-12,<7.5,Oligaemic,Fallot,no,11-30_days,yes,Lt_to_Rt,Mild,Normal,Low,yes
997,no,Equal,Moderate,Normal,Plethoric,no,no,12+,12+,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
998,no,Equal,Severe,Low,Normal,yes,yes,5-12,<5,<7.5,Normal,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Transp.,Normal,Normal,yes
999,no,Equal,Severe,Normal,Grd_Glass,yes,no,5-12,<5,<7.5,Normal,TGA,yes,0-3_days,no,None,Transp.,Congested,High,yes
1000,no,Equal,Moderate,Normal,Normal,no,no,5-12,5-12,<7.5,Normal,PFC,no,0-3_days,no,Rt_to_Lt,Mild,Normal,Normal,no
1001,no,Equal,Mild,Normal,Asy/Patch,no,no,5-12,<5,<7.5,Asy/Patchy,Lung,no,0-3_days,no,None,Mild,Abnormal,Low,yes
1002,no,Equal,Mild,Low,Oligaemic,no,yes,12+,12+,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
1003,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,<5,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1004,no,Equal,Moderate,Low,Plethoric,no,no,5-12,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
1005,no,Equal,Moderate,High,Asy/Patch,yes,yes,<5,5-12,>=7.5,Asy/Patchy,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,no
1006,no,Equal,Moderate,Normal,Normal,no,no,5-12,5-12,<7.5,Normal,PAIVS,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Normal,yes
1007,no,Equal,Moderate,Normal,Plethoric,no,yes,5-12,<5,<7.5,Plethoric,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,High,no
1008,no,Equal,Severe,Normal,Asy/Patch,yes,no,<5,<5,<7.5,Plethoric,Fallot,yes,11-30_days,no,Lt_to_Rt,Complete,Abnormal,Normal,no
1009,no,Equal,Severe,Low,Plethoric,no,no,<5,<5,<7.5,Normal,Fallot,no,4-10_days,no,Lt_to_Rt,Complete,Normal,High,no
1010,no,Equal,Severe,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1011,no,Equal,Moderate,Normal,Asy/Patch,yes,yes,5-12,12+,<7.5,Asy/Patchy,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,yes
1012,no,Unequal,Mild,Normal,Asy/Patch,yes,no,12+,5-12,>=7.5,Plethoric,Lung,no,0-3_days,no,Rt_to_Lt,None,Abnormal,Normal,yes
1013,no,Equal,Moderate,High,Oligaemic,no,no,5-12,5-12,>=7.5,Oligaemic,PAIVS,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,no
1014,no,Equal,Severe,Normal,Normal,no,no,5-12,<5,<7.5,Normal,TGA,no,4-10_days,no,None,Transp.,Normal,Normal,no
1015,no,Equal,Severe,High,Asy/Patch,yes,no,5-12,<5,>=7.5,Oligaemic,Fallot,no,4-10_days,no,None,Complete,Abnormal,Low,no
1016,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,5-12,<7.5,Oligaemic,Fallot,no,4-10_days,no,None,Mild,Normal,Low,yes
1017,yes,Equal,Moderate,Normal,Oligaemic,no,no,5-12,5-12,>=7.5,Oligaemic,PFC,no,0-3_days,no,Rt_to_Lt,Complete,Normal,Low,yes
1018,no,Equal,Severe,Normal,Plethoric,no,no,5-12,5-12,<7.5,Plethoric,TGA,no,4-10_days,no,None,Transp.,Normal,High,no
1019,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,<5,<7.5,Oligaemic,TGA,yes,11-30_days,no,None,Transp.,Normal,Low,no
1020,no,Equal,Moderate,Normal,Oligaemic,yes,yes,<5,5-12,<7.5,Normal,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,yes
1021,no,Equal,Severe,Normal,Grd_Glass,yes,no,<5,<5,<7.5,Plethoric,Lung,yes,0-3_days,no,Rt_to_Lt,Mild,Normal,High,yes
1022,no,Equal,Moderate,Normal,Plethoric,no,no,5-12,5-12,<7.5,Plethoric,TGA,no,0-3_days,no,None,Complete,Normal,High,yes
1023,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,5-12,<7.5,Oligaemic,Fallot,no,0-3_days,no,Lt_to_Rt,Mild,Normal,Low,yes
1024,yes,Equal,Severe,Normal,Plethoric,no,no,<5,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Complete,Normal,High,no
1025,no,Equal,Severe,Normal,Plethoric,no,no,<5,5-12,<7.5,Plethoric,TGA,no,0-3_days,no,Lt_to_Rt,Transp.,Normal,High,no
1026,no,Equal,Moderate,Normal,Oligaemic,no,yes,<5,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1027,no,Equal,Moderate,Normal,Oligaemic,no,no,12+,<5,<7.5,Oligaemic,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Congested,Low,no
1028,no,Equal,Moderate,Low,Oligaemic,no,no,<5,12+,>=7.5,Oligaemic,Fallot,no,0-3_days,no,Lt_to_Rt,Mild,Normal,Low,yes
1029,no,Equal,Moderate,Normal,Normal,no,yes,5-12,5-12,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,High,no
1030,no,Unequal,Severe,Normal,Oligaemic,no,yes,<5,<5,<7.5,Oligaemic,PAIVS,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
1031,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,12+,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,no
1032,no,Equal,Severe,Normal,Plethoric,yes,no,<5,<5,<7.5,Plethoric,TGA,yes,0-3_days,no,None,Transp.,Normal,High,no
1033,yes,Unequal,Severe,Normal,Normal,no,yes,<5,5-12,<7.5,Normal,PFC,no,0-3_days,yes,Rt_to_Lt,Transp.,Normal,Normal,no
1034,no,Equal,Mild,High,Asy/Patch,yes,no,5-12,12+,>=7.5,Normal,PAIVS,yes,0-3_days,yes,Lt_to_Rt,None,Abnormal,Normal,no
1035,no,Equal,Moderate,High,Oligaemic,no,yes,5-12,<5,>=7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
1036,no,Equal,Moderate,High,Plethoric,yes,no,<5,12+,>=7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,yes
1037,yes,Equal,Moderate,Normal,Oligaemic,yes,no,5-12,5-12,<7.5,Oligaemic,Fallot,yes,4-10_days,no,Lt_to_Rt,Complete,Normal,Low,yes
1038,no,Equal,Moderate,High,Normal,no,no,5-12,5-12,>=7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Normal,Normal,no
1039,no,Equal,Mild,Normal,Asy/Patch,no,yes,5-12,12+,<7.5,Plethoric,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
1040,no,Equal,Severe,Normal,Normal,no,no,<5,12+,<7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Normal,Normal,no
1041,no,Equal,Moderate,Normal,Plethoric,no,no,5-12,5-12,<7.5,Plethoric,TAPVD,no,0-3_days,no,Lt_to_Rt,Complete,Congested,High,yes
1042,no,Equal,Severe,Normal,Normal,yes,no,<5,<5,<7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Normal,High,yes
1043,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,12+,<7.5,Oligaemic,Fallot,no,0-3_days,no,Lt_to_Rt,Mild,Normal,Low,yes
1044,no,Equal,Severe,Normal,Oligaemic,yes,yes,5-12,12+,<7.5,Oligaemic,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1045,no,Equal,Mild,Normal,Oligaemic,no,no,12+,12+,<7.5,Normal,PFC,no,0-3_days,no,Lt_to_Rt,None,Normal,Low,yes
1046,no,Equal,Moderate,Normal,Normal,yes,no,5-12,5-12,<7.5,Asy/Patchy,Fallot,yes,11-30_days,no,Lt_to_Rt,Complete,Normal,Normal,yes
1047,no,Equal,Mild,High,Oligaemic,no,no,12+,5-12,>=7.5,Oligaemic,TAPVD,no,0-3_days,no,Rt_to_Lt,Complete,Abnormal,High,yes
1048,yes,Equal,Moderate,Normal,Plethoric,yes,yes,5-12,5-12,<7.5,Normal,TGA,yes,11-30_days,no,None,Transp.,Normal,High,no
1049,no,Equal,Severe,Normal,Normal,no,no,5-12,12+,<7.5,Normal,Fallot,no,11-30_days,no,None,Complete,Normal,High,no
1050,no,Equal,Moderate,Normal,Oligaemic,no,yes,<5,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
1051,no,Equal,Mild,Normal,Asy/Patch,yes,no,12+,<5,>=7.5,Asy/Patchy,Fallot,no,0-3_days,no,None,Complete,Abnormal,Low,no
1052,no,Equal,Moderate,High,Oligaemic,no,no,5-12,5-12,>=7.5,Normal,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,yes
1053,no,Equal,Severe,Normal,Oligaemic,yes,no,<5,5-12,<7.5,Oligaemic,TGA,yes,0-3_days,no,None,Transp.,Abnormal,High,no
1054,no,Equal,Moderate,High,Asy/Patch,yes,yes,5-12,5-12,>=7.5,Asy/Patchy,Lung,yes,0-3_days,no,Rt_to_Lt,Mild,Abnormal,Normal,yes
1055,no,Equal,Severe,Normal,Normal,no,no,5-12,<5,<7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
1056,no,Equal,Moderate,Normal,Plethoric,no,no,5-12,5-12,>=7.5,Plethoric,TGA,yes,0-3_days,no,None,Transp.,Normal,High,yes
1057,no,Equal,Severe,Normal,Plethoric,no,no,<5,5-12,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
1058,yes,Unequal,Mild,Normal,Grd_Glass,no,no,<5,12+,<7.5,Normal,PFC,no,0-3_days,no,Lt_to_Rt,None,Abnormal,Low,no
1059,no,Equal,Severe,High,Plethoric,no,no,<5,5-12,>=7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
1060,no,Equal,Moderate,High,Plethoric,no,yes,5-12,5-12,>=7.5,Plethoric,TGA,yes,11-30_days,yes,None,Mild,Normal,High,no
1061,no,Equal,Moderate,Normal,Asy/Patch,no,no,5-12,5-12,<7.5,Asy/Patchy,Fallot,no,4-10_days,no,Lt_to_Rt,Mild,Abnormal,Low,no
1062,no,Equal,Moderate,Normal,Normal,no,no,12+,5-12,<7.5,Normal,TGA,no,0-3_days,no,None,Transp.,Normal,Normal,no
1063,no,Equal,Severe,Normal,Plethoric,no,no,5-12,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
1064,no,Equal,Severe,High,Oligaemic,no,yes,<5,<5,>=7.5,Oligaemic,Fallot,no,11-30_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1065,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,5-12,>=7.5,Oligaemic,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Abnormal,Low,no
1066,no,Equal,Mild,High,Asy/Patch,yes,no,<5,12+,>=7.5,Asy/Patchy,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,no
1067,no,Equal,Mild,Normal,Asy/Patch,no,yes,5-12,12+,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1068,no,Equal,Moderate,Normal,Oligaemic,yes,yes,5-12,<5,<7.5,Oligaemic,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Abnormal,Low,no
1069,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,12+,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1070,no,Equal,Moderate,High,Asy/Patch,no,no,5-12,5-12,>=7.5,Normal,Fallot,yes,11-30_days,no,Lt_to_Rt,Complete,Congested,Low,no
1071,no,Equal,Severe,Low,Plethoric,no,no,5-12,<5,<7.5,Plethoric,TGA,no,0-3_days,yes,None,Transp.,Normal,High,yes
1072,no,Equal,Moderate,Normal,Asy/Patch,no,no,5-12,<5,<7.5,Asy/Patchy,Fallot,no,0-3_days,no,Lt_to_Rt,Complete,Normal,Low,no
1073,no,Equal,Mild,Normal,Oligaemic,no,yes,12+,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1074,yes,Equal,Moderate,Normal,Normal,no,no,<5,5-12,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,yes
1075,no,Equal,Mild,Normal,Grd_Glass,yes,no,12+,12+,<7.5,Grd_Glass,PFC,yes,0-3_days,no,Lt_to_Rt,None,Abnormal,High,yes
1076,no,Equal,Mild,Normal,Oligaemic,no,yes,5-12,<5,>=7.5,Oligaemic,Fallot,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1077,no,Equal,Severe,Normal,Oligaemic,no,no,<5,<5,<7.5,Oligaemic,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
1078,no,Equal,Moderate,High,Asy/Patch,yes,no,<5,<5,>=7.5,Asy/Patchy,Fallot,yes,0-3_days,no,Lt_to_Rt,None,Abnormal,Low,yes
1079,no,Equal,Moderate,Normal,Normal,no,no,12+,<5,<7.5,Normal,Fallot,no,11-30_days,no,None,Complete,Normal,Low,no
1080,no,Equal,Severe,Normal,Normal,no,yes,<5,<5,<7.5,Normal,TGA,no,4-10_days,yes,Rt_to_Lt,Transp.,Normal,High,no
1081,no,Equal,Moderate,Normal,Normal,no,no,5-12,5-12,<7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,Normal,no
1082,no,Equal,Severe,Normal,Oligaemic,no,no,5-12,<5,<7.5,Plethoric,Fallot,no,11-30_days,no,Lt_to_Rt,Mild,Normal,Low,no
1083,no,Equal,Moderate,Normal,Normal,no,yes,<5,5-12,<7.5,Plethoric,PAIVS,yes,0-3_days,yes,Lt_to_Rt,Complete,Normal,Normal,no
1084,no,Equal,Moderate,Normal,Oligaemic,no,yes,5-12,5-12,<7.5,Oligaemic,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1085,no,Equal,Severe,Normal,Plethoric,no,no,<5,<5,<7.5,Plethoric,TGA,no,11-30_days,no,None,Transp.,Normal,High,no
1086,no,Equal,Moderate,Normal,Normal,no,no,5-12,<5,<7.5,Normal,Fallot,no,11-30_days,no,None,Complete,Normal,Normal,no
1087,no,Equal,Moderate,Normal,Oligaemic,no,no,5-12,5-12,<7.5,Oligaemic,TGA,no,4-10_days,no,Rt_to_Lt,Transp.,Congested,High,no
1088,no,Equal,Moderate,Normal,Plethoric,no,no,<5,<5,>=7.5,Plethoric,Fallot,no,0-3_days,no,Lt_to_Rt,Mild,Normal,High,no
1089,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,5-12,<7.5,Oligaemic,Fallot,no,0-3_days,no,None,Mild,Normal,Low,yes
1090,no,Equal,Severe,Normal,Normal,no,yes,12+,12+,<7.5,Normal,PAIVS,no,0-3_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1091,no,Equal,Severe,Normal,Plethoric,yes,no,5-12,<5,<7.5,Plethoric,TGA,no,0-3_days,no,None,Transp.,Normal,High,no
1092,no,Equal,Moderate,Normal,Oligaemic,no,no,<5,5-12,<7.5,Oligaemic,Fallot,no,11-30_days,no,None,Complete,Normal,Low,no
1093,no,Equal,Moderate,Normal,Oligaemic,no,yes,12+,5-12,>=7.5,Oligaemic,PAIVS,no,4-10_days,yes,Lt_to_Rt,Complete,Normal,Low,no
1094,no,Equal,Moderate,High,Normal,no,yes,5-12,5-12,>=7.5,Normal,Fallot,yes,11-30_days,no,None,Complete,Normal,Low,no
1095,no,Equal,Mild,High,Plethoric,no,no,5-12,<5,>=7.5,Plethoric,TGA,no,4-10_days,no,None,None,Normal,High,no
1096,no,Equal,Severe,High,Asy/Patch,yes,yes,12+,<5,>=7.5,Plethoric,TAPVD,yes,0-3_days,yes,None,Complete,Abnormal,Normal,yes
1097,no,Equal,Severe,Normal,Normal,no,no,<5,5-12,<7.5,Normal,Fallot,no,11-30_days,no,Lt_to_Rt,Complete,Normal,Normal,no
