,HISTORY,HREKG,LVFAILURE,ERRLOWOUTPUT,HRSAT,VENTALV,FIO2,VENTLUNG,STROKEVOLUME,LVEDVOLUME,BP,CO,HYPOVOLEMIA,INTUBATION,TPR,VENTMACH,CATECHOL,PULMEMBOLUS,MINVOL,CVP,INSUFFANESTH,HRBP,SAO2,HR,PRESS,ERRCAUTER,PVSAT,VENTTUBE,KINKEDTUBE,DISCONNECT,MINVOLSET,ANAPHYLAXIS,EXPCO2,ARTCO2,PCWP,SHUNT,PAP
259,TRUE,HIGH,TRUE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,LOW,LOW,LOW,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
260,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
261,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,NORMAL,NORMAL,LOW,HIGH,LOW,LOW,TRUE,NORMAL,LOW,LOW,HIGH,FALSE,ZERO,HIGH,FALSE,NORMAL,LOW,HIGH,HIGH,TRUE,LOW,ZERO,FALSE,FALSE,LOW,FALSE,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
262,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,NORMAL,LOW,LOW,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
263,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,HIGH,HIGH,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
264,FALSE,LOW,FALSE,FALSE,LOW,HIGH,LOW,LOW,LOW,HIGH,HIGH,NORMAL,TRUE,NORMAL,HIGH,ZERO,NORMAL,FALSE,HIGH,NORMAL,FALSE,LOW,NORMAL,NORMAL,HIGH,FALSE,NORMAL,ZERO,FALSE,TRUE,NORMAL,FALSE,LOW,LOW,HIGH,NORMAL,NORMAL
265,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,HIGH,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,ZERO,NORMAL,NORMAL,NORMAL,NORMAL
266,FALSE,HIGH,FALSE,TRUE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,TRUE,NORMAL,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,LOW
267,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
268,FALSE,LOW,FALSE,FALSE,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,ZERO,NORMAL,FALSE,HIGH,NORMAL,FALSE,LOW,HIGH,NORMAL,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
269,TRUE,HIGH,FALSE,FALSE,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,LOW,HIGH,FALSE,ONESIDED,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,NORMAL,HIGH,NORMAL,HIGH,NORMAL
270,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,HIGH,LOW,NORMAL,TRUE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,LOW
271,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,LOW,LOW,LOW,NORMAL,LOW,LOW,FALSE,NORMAL,NORMAL,LOW,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,NORMAL,HIGH,HIGH,FALSE,NORMAL,ZERO,FALSE,FALSE,LOW,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
272,TRUE,HIGH,TRUE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,LOW,LOW,LOW,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
273,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
274,FALSE,LOW,FALSE,FALSE,LOW,HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,NORMAL,FALSE,NORMAL,HIGH,NORMAL,NORMAL,FALSE,HIGH,NORMAL,FALSE,LOW,HIGH,NORMAL,HIGH,FALSE,HIGH,ZERO,FALSE,TRUE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
275,FALSE,HIGH,FALSE,FALSE,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,FALSE,NORMAL,FALSE,HIGH,HIGH,NORMAL,NORMAL,NORMAL
276,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
277,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
278,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,NORMAL,LOW,LOW,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
279,FALSE,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
280,FALSE,HIGH,FALSE,FALSE,LOW,NORMAL,LOW,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,ZERO,LOW,NORMAL,NORMAL,NORMAL
281,FALSE,LOW,FALSE,FALSE,LOW,HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,NORMAL,FALSE,NORMAL,LOW,ZERO,HIGH,FALSE,HIGH,HIGH,FALSE,LOW,LOW,NORMAL,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,HIGH,NORMAL,NORMAL
282,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
283,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,LOW,HIGH,ZERO,FALSE,LOW,LOW,TRUE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
284,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,TRUE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
285,FALSE,LOW,FALSE,TRUE,LOW,NORMAL,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,FALSE,ONESIDED,HIGH,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,FALSE,HIGH,LOW,NORMAL,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,NORMAL,NORMAL,HIGH,NORMAL
286,FALSE,NORMAL,FALSE,FALSE,NORMAL,ZERO,NORMAL,ZERO,LOW,HIGH,HIGH,LOW,TRUE,NORMAL,HIGH,ZERO,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,TRUE,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,HIGH,NORMAL
287,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,LOW,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,LOW,FALSE,ZERO,NORMAL,NORMAL,NORMAL,NORMAL
288,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,HIGH,NORMAL
289,FALSE,NORMAL,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,HIGH,LOW,LOW,TRUE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,NORMAL,TRUE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
290,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,HIGH,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
291,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,NORMAL,HIGH,NORMAL,NORMAL
292,FALSE,LOW,FALSE,FALSE,LOW,HIGH,NORMAL,LOW,LOW,LOW,LOW,LOW,FALSE,NORMAL,HIGH,LOW,NORMAL,FALSE,HIGH,LOW,FALSE,LOW,HIGH,NORMAL,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,LOW,FALSE,LOW,LOW,LOW,NORMAL,NORMAL
293,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,ZERO,HIGH,FALSE,HIGH,HIGH,FALSE,LOW,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
294,FALSE,NORMAL,FALSE,FALSE,NORMAL,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,TRUE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
295,FALSE,LOW,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
296,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH,FALSE,NORMAL,NORMAL,LOW,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,ZERO,FALSE,FALSE,LOW,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
297,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,ZERO,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
298,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,HIGH,HIGH,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,TRUE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
299,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
300,TRUE,HIGH,TRUE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,LOW,NORMAL,NORMAL,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
301,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
302,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,HIGH,HIGH,TRUE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
303,FALSE,LOW,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,NORMAL,HIGH,LOW,NORMAL,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,HIGH,TRUE,LOW,LOW,NORMAL,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
304,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,NORMAL,NORMAL,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
305,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,LOW,LOW,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
306,FALSE,LOW,FALSE,TRUE,LOW,ZERO,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,LOW,LOW,NORMAL,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
307,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,LOW,LOW,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,HIGH,NORMAL,LOW
308,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,LOW,HIGH,FALSE,ESOPHAGEAL,LOW,HIGH,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,FALSE,NORMAL,LOW,NORMAL,NORMAL,NORMAL
309,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,NORMAL,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,HIGH,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
310,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,HIGH,FALSE,ONESIDED,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,NORMAL,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,ZERO,HIGH,NORMAL,HIGH,NORMAL
311,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,ONESIDED,LOW,NORMAL,HIGH,FALSE,NORMAL,LOW,FALSE,HIGH,LOW,HIGH,LOW,TRUE,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,LOW,HIGH,NORMAL,HIGH,NORMAL
312,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,NORMAL
313,FALSE,LOW,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,TRUE,LOW,LOW,NORMAL,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
314,TRUE,LOW,TRUE,FALSE,LOW,ZERO,NORMAL,ZERO,LOW,LOW,NORMAL,LOW,FALSE,NORMAL,HIGH,NORMAL,NORMAL,FALSE,ZERO,LOW,FALSE,LOW,LOW,NORMAL,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,HIGH,NORMAL
315,FALSE,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
316,FALSE,LOW,FALSE,FALSE,LOW,LOW,NORMAL,ZERO,NORMAL,NORMAL,LOW,NORMAL,FALSE,ESOPHAGEAL,LOW,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,LOW,LOW,NORMAL,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
317,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
318,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,TRUE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
319,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,HIGH,NORMAL,NORMAL
320,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,HIGH,HIGH,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,HIGH,TRUE,HIGH,LOW,HIGH,LOW,FALSE,LOW,LOW,TRUE,FALSE,NORMAL,FALSE,HIGH,HIGH,HIGH,NORMAL,NORMAL
321,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,ZERO,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,NORMAL,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL
322,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,LOW
323,FALSE,LOW,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,FALSE,NORMAL,HIGH,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,LOW,LOW,NORMAL,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
324,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,NORMAL,NORMAL,NORMAL
325,FALSE,NORMAL,FALSE,FALSE,NORMAL,ZERO,NORMAL,ZERO,LOW,HIGH,NORMAL,LOW,TRUE,NORMAL,LOW,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,TRUE,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL
326,FALSE,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,HIGH,NORMAL,NORMAL,LOW,HIGH,FALSE,NORMAL,LOW,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,HIGH,HIGH,NORMAL,NORMAL,NORMAL
327,FALSE,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,NORMAL,HIGH,FALSE,NORMAL,NORMAL,LOW,HIGH,FALSE,HIGH,NORMAL,FALSE,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,ZERO,FALSE,FALSE,LOW,FALSE,ZERO,NORMAL,HIGH,NORMAL,NORMAL
328,TRUE,HIGH,TRUE,FALSE,HIGH,ZERO,NORMAL,ZERO,LOW,LOW,NORMAL,NORMAL,TRUE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,LOW,FALSE,HIGH,LOW,HIGH,NORMAL,FALSE,LOW,LOW,TRUE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,HIGH
329,FALSE,HIGH,FALSE,FALSE,HIGH,ZERO,LOW,ZERO,NORMAL,NORMAL,NORMAL,HIGH,FALSE,NORMAL,NORMAL,LOW,HIGH,FALSE,ZERO,NORMAL,FALSE,HIGH,LOW,HIGH,HIGH,FALSE,LOW,ZERO,FALSE,FALSE,LOW,FALSE,LOW,HIGH,NORMAL,NORMAL,HIGH
330,FALSE,LOW,FALSE,FALSE,LOW,ZERO,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,NORMAL,NORMAL,HIGH,FALSE,ZERO,NORMAL,FALSE,LOW,LOW,NORMAL,HIGH,FALSE,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,LOW,HIGH,LOW,NORMAL,HIGH
